day,operation,hour,country,operator,operation_id,price
2024-01-04,Store WS,06,France,Uber,67915,59
2024-01-04,Store CO,00,France,Uber,57861,97
2024-01-04,Store XX,07,France,Twitter,98694,9
2024-01-04,Store WS,01,France,Facebook,76576,64
2024-01-04,Store CO,06,France,Apple,25418,42
2024-01-04,Store WS,04,France,Apple,83313,61
2024-01-04,Store WS,03,France,Tesla,37016,84
2024-01-04,Store CO,10,France,Netflix,79057,57
2024-01-04,Store WS,07,France,Facebook,80272,59
2024-01-04,Store CO,09,France,Tesla,90915,4
2024-01-04,Store CO,06,France,Microsoft,81453,57
2024-01-04,Store XX,04,France,Tesla,18903,89
2024-01-04,Store XX,03,France,Microsoft,74950,53
2024-01-04,Store CO,10,France,Twitter,72781,101
2024-01-04,Store CO,07,France,Facebook,10163,47
2024-01-04,Store XX,03,France,Uber,77582,46
2024-01-04,Store XX,05,France,Twitter,30283,17
2024-01-04,Store CO,03,France,Facebook,50507,81
2024-01-04,Store WS,08,France,Facebook,23071,46
2024-01-04,Store XX,09,France,Netflix,54449,101
2024-01-04,Store WS,08,France,Microsoft,67664,56
2024-01-04,Store WS,10,France,Facebook,17773,74
2024-01-04,Store XX,06,France,Facebook,18657,5
2024-01-04,Store CO,07,France,Apple,84805,59
2024-01-04,Store CO,03,France,Uber,57786,18
2024-01-04,Store CO,02,France,Tesla,71882,61
2024-01-04,Store XX,09,France,Netflix,97163,66
2024-01-04,Store CO,01,France,Microsoft,44293,45
2024-01-04,Store CO,01,France,Facebook,33453,71
2024-01-04,Store WS,10,France,Netflix,80808,86
2024-01-04,Store WS,09,France,Twitter,85122,10
2024-01-04,Store XX,05,France,Apple,37836,77
2024-01-04,Store CO,08,France,Facebook,75811,97
2024-01-04,Store XX,03,France,Apple,76447,28
2024-01-04,Store WS,11,France,Netflix,34876,52
2024-01-04,Store CO,00,France,Twitter,65933,62
2024-01-04,Store WS,00,France,Twitter,43671,27
2024-01-04,Store CO,09,France,Uber,28375,69
2024-01-04,Store WS,00,France,Netflix,23168,27
2024-01-04,Store XX,07,France,Twitter,16779,22
2024-01-04,Store WS,02,France,Facebook,60818,30
2024-01-04,Store XX,08,France,Facebook,72311,60
2024-01-04,Store WS,11,France,Microsoft,97471,66
2024-01-04,Store WS,04,France,Apple,59745,60
2024-01-04,Store XX,04,France,Uber,66980,63
2024-01-04,Store CO,03,France,Netflix,98865,50
2024-01-04,Store CO,02,France,Microsoft,89831,25
2024-01-04,Store XX,00,France,Apple,68021,67
2024-01-04,Store CO,00,France,Twitter,97864,101
2024-01-04,Store WS,02,France,Tesla,50684,78
2024-01-04,Store CO,00,France,Microsoft,95613,35
2024-01-04,Store WS,02,France,Facebook,41987,71
2024-01-04,Store WS,01,France,Tesla,12983,2
2024-01-04,Store WS,10,France,Microsoft,35137,64
2024-01-04,Store CO,00,France,Facebook,63916,45
2024-01-04,Store CO,04,France,Netflix,57495,45
2024-01-04,Store XX,01,France,Netflix,44881,101
2024-01-04,Store CO,02,France,Uber,40867,85
2024-01-04,Store XX,11,France,Microsoft,84997,28
2024-01-04,Store CO,05,France,Apple,93089,89
2024-01-04,Store WS,08,France,Uber,15295,30
2024-01-04,Store WS,09,France,Netflix,92214,56
2024-01-04,Store XX,11,France,Facebook,78450,48
2024-01-04,Store CO,00,France,Uber,32001,51
2024-01-04,Store CO,06,France,Uber,99881,14
2024-01-04,Store XX,10,France,Netflix,57873,64
2024-01-04,Store WS,01,France,Apple,64146,4
2024-01-04,Store CO,02,France,Netflix,38412,44
2024-01-04,Store WS,04,France,Apple,22861,69
2024-01-04,Store CO,04,France,Twitter,74194,96
2024-01-04,Store XX,08,France,Twitter,99955,33
2024-01-04,Store XX,01,France,Uber,86191,3
2024-01-04,Store CO,07,France,Uber,67420,62
2024-01-04,Store CO,10,France,Apple,34049,38
2024-01-04,Store WS,07,France,Tesla,23650,48
2024-01-04,Store XX,11,France,Twitter,44211,8
2024-01-04,Store XX,11,France,Microsoft,85407,86
2024-01-04,Store CO,00,France,Facebook,39687,64
2024-01-04,Store WS,00,France,Facebook,93269,6
2024-01-04,Store WS,01,France,Twitter,43090,99
2024-01-04,Store CO,03,France,Apple,36462,3
2024-01-04,Store XX,00,France,Facebook,51946,72
2024-01-04,Store XX,02,France,Tesla,87039,92
2024-01-04,Store XX,02,France,Netflix,63350,44
2024-01-04,Store WS,00,France,Uber,37850,25
2024-01-04,Store WS,00,France,Twitter,98431,68
2024-01-04,Store WS,08,France,Uber,71468,63
2024-01-04,Store WS,10,France,Uber,67732,90
2024-01-04,Store CO,06,France,Facebook,77444,19
2024-01-04,Store WS,11,France,Twitter,29761,86
2024-01-04,Store CO,09,France,Microsoft,42961,73
2024-01-04,Store CO,11,France,Apple,73247,54
2024-01-04,Store WS,09,France,Microsoft,27198,40
2024-01-04,Store XX,10,France,Tesla,48787,101
2024-01-04,Store CO,06,France,Netflix,81419,55
2024-01-04,Store CO,11,France,Facebook,65059,37
2024-01-04,Store XX,08,France,Microsoft,90596,1
2024-01-04,Store WS,06,France,Uber,61557,85
2024-01-04,Store CO,02,France,Netflix,48842,64
2024-01-04,Store WS,08,France,Microsoft,95051,11
2024-01-04,Store CO,03,France,Uber,39866,88
2024-01-04,Store XX,11,France,Microsoft,81390,41
2024-01-04,Store CO,01,France,Facebook,17319,93
2024-01-04,Store WS,00,France,Uber,54667,54
2024-01-04,Store XX,03,France,Microsoft,44905,8
2024-01-04,Store WS,03,France,Facebook,50663,98
2024-01-04,Store WS,08,France,Apple,66625,70
2024-01-04,Store WS,09,France,Twitter,10015,64
2024-01-04,Store XX,06,France,Twitter,13415,64
2024-01-04,Store CO,09,France,Microsoft,17960,55
2024-01-04,Store CO,06,France,Facebook,86437,10
2024-01-04,Store WS,09,France,Twitter,19122,4
2024-01-04,Store WS,03,France,Uber,50692,57
2024-01-04,Store CO,01,France,Twitter,56578,32
2024-01-04,Store WS,00,France,Netflix,73118,99
2024-01-04,Store CO,02,France,Netflix,71704,64
2024-01-04,Store CO,03,France,Apple,50720,54
2024-01-04,Store WS,04,France,Uber,75239,46
2024-01-04,Store XX,00,France,Twitter,29076,31
2024-01-04,Store CO,10,France,Apple,32801,30
2024-01-04,Store CO,08,France,Netflix,16694,64
2024-01-04,Store CO,09,France,Tesla,43518,7
2024-01-04,Store CO,10,France,Netflix,60876,26
2024-01-04,Store XX,10,France,Apple,24031,76
2024-01-04,Store WS,07,France,Netflix,90406,99
2024-01-04,Store WS,08,France,Facebook,27907,14
2024-01-04,Store WS,02,France,Uber,36228,38
2024-01-04,Store CO,04,France,Microsoft,17368,20
2024-01-04,Store XX,07,France,Tesla,85702,60
2024-01-04,Store CO,04,France,Tesla,32169,30
2024-01-04,Store CO,11,France,Facebook,45906,31
2024-01-04,Store CO,10,France,Facebook,63280,47
2024-01-04,Store XX,00,France,Uber,53104,30
2024-01-04,Store XX,07,France,Twitter,36552,42
2024-01-04,Store WS,10,France,Microsoft,33240,56
2024-01-04,Store WS,11,France,Tesla,83419,85
2024-01-04,Store XX,07,France,Apple,94192,42
